0,0.0905973
100,0.121655
200,0.129364
300,0.137032
400,0.128089
500,0.119263
600,1.16E-01
700,0.105099
800,0.119328
900,1.18E-01
1000,0.102897
1100,0.113225
1200,0.110583
1300,1.02E-01
1400,0.0817859
1500,0.059581
1600,0.0526729
1700,3.42E-02
1800,3.48E-02
1900,0.0233289
2000,2.06E-02
2100,2.05E-02
2200,2.14E-02
2300,1.53E-02
2400,1.31E-02
2500,1.16E-02
2600,7.97E-03
2700,6.83E-03
2800,5.68E-03
2900,5.26E-03
3000,4.38E-03
3100,3.63E-03
3200,3.42E-03
3300,3.16E-03
3400,2.66E-03
3500,2.49E-03
3600,2.24E-03
3700,2.06E-03
3800,1.92E-03
3900,1.78E-03
4000,1.64E-03
4100,1.56E-03
4200,1.52E-03
4300,1.44E-03
4400,1.33E-03
4500,1.27E-03
4600,1.22E-03
4700,1.14E-03
4800,1.09E-03
4900,1.07E-03
5000,1.01E-03
5100,9.48E-04
5200,9.31E-04
5300,9.01E-04
5400,8.78E-04
5500,8.50E-04
5600,8.33E-04
5700,7.87E-04
5800,7.56E-04
5900,7.42E-04
6000,7.16E-04
6100,6.95E-04
6200,6.72E-04
6300,6.50E-04
6400,6.34E-04
6500,6.23E-04
6600,6.20E-04
6700,6.04E-04
6800,5.77E-04
6900,5.57E-04
7000,5.42E-04
7100,5.34E-04
7200,5.19E-04
7300,5.11E-04
7400,5.02E-04
7500,4.95E-04
7600,4.88E-04
7700,4.79E-04
7800,4.66E-04
7900,4.53E-04
8000,4.41E-04
8100,4.32E-04
8200,4.27E-04
8300,4.21E-04
8400,4.14E-04
8500,4.03E-04
8600,3.97E-04
8700,3.91E-04
8800,3.83E-04
8900,3.79E-04
9000,3.70E-04
9100,3.63E-04
9200,3.57E-04
9300,3.55E-04
9400,3.52E-04
9500,3.46E-04
9600,3.36E-04
9700,3.33E-04
9800,3.31E-04
9900,3.25E-04
